truck_time_night,truck_weather_foggy,truck_weather_raining,truck_weather_snowing,truck_locations_indoors,truck_locations_rocks,truck_locations_snow,truck_locations_water
68.00%,33.33%,60.00%,33.33%,67.74%,51.16%,34.09%,39.13%
94.00%,85.19%,80.00%,88.89%,77.42%,79.07%,76.14%,67.39%
