ship_time_night,ship_weather_foggy,ship_weather_raining,ship_weather_snowing,ship_locations_forest,ship_locations_grass,ship_locations_indoors,ship_locations_rocks,ship_locations_sand,ship_locations_street,ship_locations_snow
64.15%,55.96%,57.14%,100.00%,44.30%,28.57%,40.00%,36.62%,19.25%,41.75%,54.29%
90.57%,91.74%,85.71%,100.00%,79.75%,74.29%,60.00%,83.10%,72.19%,84.47%,92.14%
