truck_time_night,truck_weather_foggy,truck_weather_raining,truck_weather_snowing,truck_locations_indoors,truck_locations_rocks,truck_locations_snow,truck_locations_water
72.00%,44.44%,40.00%,33.33%,54.84%,46.51%,29.55%,39.13%
94.00%,92.59%,70.00%,77.78%,87.10%,76.74%,78.41%,58.70%
