plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
67.97%,58.93%,73.68%,50.00%,38.20%,80.00%,50.91%,52.30%,50.91%,33.11%
89.84%,85.71%,78.95%,50.00%,74.72%,95.20%,80.00%,82.85%,83.64%,62.16%
