horse_time_night,horse_weather_foggy,horse_weather_raining,horse_weather_snowing,horse_locations_indoors,horse_locations_rocks,horse_locations_street,horse_locations_snow,horse_locations_water
18.33%,26.67%,21.43%,50.00%,45.16%,33.70%,20.38%,37.38%,26.69%
33.33%,45.71%,35.71%,58.33%,67.74%,51.09%,43.41%,53.88%,47.64%
