deer_time_night,deer_weather_foggy,deer_weather_raining,deer_weather_snowing,deer_locations_indoors,deer_locations_rocks,deer_locations_sand,deer_locations_street,deer_locations_snow,deer_locations_water
49.02%,39.74%,100.00%,25.00%,10.00%,28.42%,42.06%,35.92%,27.59%,52.46%
88.24%,66.67%,100.00%,63.64%,50.00%,69.47%,74.30%,62.14%,65.52%,75.41%
