cat_time_night,cat_weather_foggy,cat_weather_raining,cat_weather_snowing,cat_locations_forest,cat_locations_rocks,cat_locations_sand,cat_locations_snow,cat_locations_water
61.11%,28.57%,72.73%,65.22%,56.91%,66.42%,65.73%,63.78%,58.06%
91.67%,57.14%,100.00%,73.91%,82.93%,89.78%,82.52%,77.95%,78.49%
