bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
77.78%,81.40%,88.24%,100.00%,72.50%,87.43%,87.69%,94.32%
88.89%,90.70%,100.00%,100.00%,85.00%,97.81%,92.31%,98.86%
