dog_time_day,dog_time_none,dog_weather_cloudy,dog_weather_partly cloudy,dog_weather_sunny,dog_weather_none,dog_locations_grass,dog_locations_indoors,dog_locations_sand,dog_locations_street,dog_locations_water,dog_locations_none
88.03%,91.65%,89.40%,80.00%,90.21%,89.78%,89.55%,91.01%,83.82%,81.72%,86.10%,92.83%
97.97%,98.41%,97.35%,95.88%,98.43%,98.17%,97.64%,98.48%,97.34%,96.24%,97.27%,99.28%
