frog_time_day,frog_time_night,frog_time_none,frog_weather_cloudy,frog_weather_partly cloudy,frog_weather_sunny,frog_weather_none,frog_locations_forest,frog_locations_grass,frog_locations_rocks,frog_locations_sand,frog_locations_water,frog_locations_none
92.16%,97.22%,91.02%,82.35%,93.18%,92.20%,92.81%,83.80%,90.51%,92.47%,92.11%,93.80%,95.29%
97.42%,99.44%,95.98%,100.00%,97.73%,97.16%,97.36%,96.48%,97.08%,97.91%,97.37%,98.31%,97.98%
