plane_time_day,plane_time_none,plane_weather_cloudy,plane_weather_partly cloudy,plane_weather_sunny,plane_weather_none,plane_locations_none,plane_locations_grass,plane_locations_street
62.28%,72.48%,65.64%,60.66%,64.70%,61.81%,77.38%,52.94%,67.35%
86.78%,91.74%,88.42%,86.56%,88.47%,86.18%,95.63%,83.12%,90.75%
