truck_time_day,truck_time_none,truck_weather_cloudy,truck_weather_partly cloudy,truck_weather_sunny,truck_weather_none,truck_locations_forest,truck_locations_grass,truck_locations_sand,truck_locations_street,truck_locations_none
62.36%,44.83%,71.22%,64.83%,64.87%,54.25%,55.23%,65.64%,43.05%,68.22%,71.43%
86.20%,82.76%,86.33%,87.59%,87.17%,84.62%,88.37%,89.26%,75.59%,89.83%,83.93%
