car_time_day,car_time_none,car_weather_cloudy,car_weather_partly cloudy,car_weather_sunny,car_weather_none,car_locations_forest,car_locations_grass,car_locations_sand,car_locations_street,car_locations_none
47.31%,47.64%,46.18%,50.00%,49.06%,50.00%,46.03%,49.46%,52.09%,45.63%,58.33%
82.75%,87.26%,85.71%,83.23%,82.43%,85.18%,83.07%,82.80%,85.36%,82.14%,82.29%
