deer_time_day,deer_time_none,deer_weather_cloudy,deer_weather_partly cloudy,deer_weather_sunny,deer_weather_none,deer_locations_forest,deer_locations_grass,deer_locations_none
49.75%,44.12%,45.26%,45.14%,56.20%,46.23%,44.21%,53.31%,55.10%
81.07%,67.65%,82.11%,79.43%,85.71%,78.46%,80.57%,84.94%,83.67%
