cat_time_day,cat_time_none,cat_weather_cloudy,cat_weather_partly cloudy,cat_weather_sunny,cat_weather_none,cat_locations_none,cat_locations_grass,cat_locations_indoors,cat_locations_street
76.73%,74.39%,68.00%,71.17%,78.40%,75.37%,89.25%,73.50%,74.33%,68.15%
91.43%,92.35%,80.00%,85.59%,91.55%,92.73%,97.31%,91.30%,93.15%,86.17%
