horse_time_day,horse_time_none,horse_weather_cloudy,horse_weather_partly cloudy,horse_weather_sunny,horse_weather_none,horse_locations_forest,horse_locations_grass,horse_locations_sand,horse_locations_none
41.38%,39.39%,33.87%,35.56%,46.50%,37.90%,41.81%,44.66%,32.93%,60.96%
63.90%,66.67%,56.45%,55.63%,70.11%,61.35%,65.02%,67.34%,59.06%,80.82%
