ship_time_day,ship_time_none,ship_weather_cloudy,ship_weather_partly cloudy,ship_weather_sunny,ship_weather_none,ship_locations_none,ship_locations_water
52.19%,62.07%,55.25%,49.19%,55.46%,50.00%,56.86%,53.99%
88.94%,79.31%,90.74%,86.41%,90.83%,84.47%,96.08%,89.35%
