bird_time_day,bird_time_none,bird_weather_cloudy,bird_weather_partly cloudy,bird_weather_sunny,bird_weather_none,bird_locations_forest,bird_locations_grass,bird_locations_sand,bird_locations_water,bird_locations_none
94.39%,90.32%,85.96%,91.39%,95.10%,94.71%,92.00%,94.82%,90.20%,89.33%,96.71%
98.30%,95.97%,93.57%,98.01%,98.40%,98.62%,98.25%,97.97%,97.30%,96.90%,99.00%
