horse_time_night,horse_weather_foggy,horse_weather_raining,horse_weather_snowing,horse_locations_indoors,horse_locations_rocks,horse_locations_street,horse_locations_snow,horse_locations_water
20.00%,40.00%,21.43%,72.22%,59.14%,38.04%,30.70%,53.40%,29.73%
43.33%,60.95%,28.57%,80.56%,88.17%,61.96%,47.72%,66.02%,62.84%
