car_time_night,car_weather_foggy,car_weather_raining,car_weather_snowing,car_locations_indoors,car_locations_rocks,car_locations_snow,car_locations_water
48.96%,39.81%,35.87%,46.15%,50.97%,48.70%,45.49%,37.44%
81.33%,78.64%,76.09%,74.36%,91.51%,80.87%,80.78%,75.36%
