truck_time_night,truck_weather_foggy,truck_weather_raining,truck_weather_snowing,truck_locations_indoors,truck_locations_rocks,truck_locations_snow,truck_locations_water
70.00%,40.74%,40.00%,66.67%,61.29%,55.81%,43.18%,47.83%
94.00%,81.48%,70.00%,100.00%,87.10%,90.70%,88.64%,71.74%
