cat_time_night,cat_weather_foggy,cat_weather_raining,cat_weather_snowing,cat_locations_forest,cat_locations_rocks,cat_locations_sand,cat_locations_snow,cat_locations_water
81.94%,85.71%,45.45%,82.61%,85.37%,81.75%,81.12%,83.46%,69.89%
88.89%,100.00%,100.00%,95.65%,97.56%,93.43%,92.31%,94.49%,89.25%
