bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
86.67%,74.42%,94.12%,100.00%,82.50%,85.79%,85.38%,84.66%
93.33%,90.70%,100.00%,100.00%,90.00%,97.27%,93.85%,97.73%
