deer_time_night,deer_weather_foggy,deer_weather_raining,deer_weather_snowing,deer_locations_indoors,deer_locations_rocks,deer_locations_sand,deer_locations_street,deer_locations_snow,deer_locations_water
31.37%,50.00%,100.00%,38.64%,30.00%,28.42%,40.19%,33.98%,29.66%,34.43%
80.39%,85.90%,100.00%,97.73%,70.00%,80.00%,84.11%,80.58%,84.83%,81.15%
