ship_time_night,ship_weather_foggy,ship_weather_raining,ship_weather_snowing,ship_locations_forest,ship_locations_grass,ship_locations_indoors,ship_locations_rocks,ship_locations_sand,ship_locations_street,ship_locations_snow
64.78%,53.21%,57.14%,0.00%,56.96%,36.19%,20.00%,45.07%,22.99%,41.75%,41.43%
93.71%,94.50%,100.00%,100.00%,89.87%,91.43%,60.00%,92.96%,90.91%,91.26%,95.00%
