frog_weather_foggy,frog_weather_raining,frog_weather_snowing,frog_locations_indoors,frog_locations_street,frog_locations_snow
100.00%,100.00%,N/A (total is zero),92.31%,86.21%,71.43%
100.00%,100.00%,,94.87%,89.66%,71.43%
