plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
67.97%,67.86%,94.74%,50.00%,48.31%,76.80%,65.45%,62.76%,58.18%,41.55%
99.22%,94.64%,100.00%,75.00%,92.70%,97.60%,92.73%,91.63%,97.27%,86.15%
