deer_time_night,deer_weather_foggy,deer_weather_raining,deer_weather_snowing,deer_locations_indoors,deer_locations_rocks,deer_locations_sand,deer_locations_street,deer_locations_snow,deer_locations_water
33.33%,19.23%,50.00%,13.64%,30.00%,18.95%,25.23%,18.45%,12.41%,16.39%
60.78%,53.85%,50.00%,45.45%,30.00%,49.47%,58.88%,34.95%,51.72%,46.72%
