ship_time_night,ship_weather_foggy,ship_weather_raining,ship_weather_snowing,ship_locations_forest,ship_locations_grass,ship_locations_indoors,ship_locations_rocks,ship_locations_sand,ship_locations_street,ship_locations_snow
55.35%,45.87%,57.14%,66.67%,50.63%,35.24%,20.00%,25.35%,28.34%,47.57%,51.43%
78.62%,85.32%,85.71%,100.00%,91.14%,76.19%,40.00%,74.65%,72.73%,85.44%,88.57%
