plane_time_night,plane_weather_foggy,plane_weather_raining,plane_weather_snowing,plane_locations_forest,plane_locations_indoors,plane_locations_rocks,plane_locations_sand,plane_locations_snow,plane_locations_water
53.12%,50.00%,57.89%,25.00%,38.76%,39.20%,30.91%,43.51%,39.09%,25.00%
88.28%,80.36%,68.42%,25.00%,59.55%,79.20%,56.36%,68.62%,65.45%,46.62%
