car_time_night,car_weather_foggy,car_weather_raining,car_weather_snowing,car_locations_indoors,car_locations_rocks,car_locations_snow,car_locations_water
39.00%,29.13%,34.78%,2.56%,33.59%,43.48%,14.51%,34.60%
63.90%,54.37%,65.22%,20.51%,61.78%,84.35%,42.75%,66.82%
