frog_weather_foggy,frog_weather_raining,frog_weather_snowing,frog_locations_indoors,frog_locations_street,frog_locations_snow
0.00%,66.67%,N/A (total is zero),23.08%,24.14%,14.29%
100.00%,100.00%,,38.46%,41.38%,14.29%
