cat_time_night,cat_weather_foggy,cat_weather_raining,cat_weather_snowing,cat_locations_forest,cat_locations_rocks,cat_locations_sand,cat_locations_snow,cat_locations_water
66.67%,28.57%,54.55%,17.39%,30.08%,64.23%,60.84%,28.35%,40.86%
79.17%,57.14%,63.64%,39.13%,52.85%,83.21%,70.63%,58.27%,52.69%
