bird_time_night,bird_weather_foggy,bird_weather_raining,bird_weather_snowing,bird_locations_indoors,bird_locations_rocks,bird_locations_street,bird_locations_snow
51.11%,60.47%,76.47%,93.75%,62.50%,84.70%,73.08%,89.20%
73.33%,69.77%,88.24%,96.88%,67.50%,92.90%,78.46%,94.89%
