horse_time_night,horse_weather_foggy,horse_weather_raining,horse_weather_snowing,horse_locations_indoors,horse_locations_rocks,horse_locations_street,horse_locations_snow,horse_locations_water
15.00%,22.86%,21.43%,33.33%,45.16%,19.57%,16.79%,24.76%,15.54%
26.67%,38.10%,28.57%,50.00%,61.29%,42.39%,31.65%,38.83%,32.77%
