truck_time_night,truck_weather_foggy,truck_weather_raining,truck_weather_snowing,truck_locations_indoors,truck_locations_rocks,truck_locations_snow,truck_locations_water
48.00%,40.74%,40.00%,11.11%,54.84%,60.47%,25.00%,30.43%
62.00%,66.67%,50.00%,55.56%,61.29%,81.40%,65.91%,65.22%
