truck_time_day,truck_time_none,truck_weather_cloudy,truck_weather_partly cloudy,truck_weather_sunny,truck_weather_none,truck_locations_forest,truck_locations_grass,truck_locations_sand,truck_locations_street,truck_locations_none
62.93%,51.72%,71.94%,61.38%,65.24%,58.30%,57.56%,63.19%,43.39%,69.92%,67.86%
85.62%,72.41%,89.21%,84.14%,86.43%,83.40%,87.79%,89.57%,76.27%,89.55%,82.14%
