frog_time_day,frog_time_night,frog_time_none,frog_weather_cloudy,frog_weather_partly cloudy,frog_weather_sunny,frog_weather_none,frog_locations_forest,frog_locations_grass,frog_locations_rocks,frog_locations_sand,frog_locations_water,frog_locations_none
93.34%,98.33%,91.95%,94.12%,93.18%,93.38%,93.76%,87.32%,92.70%,93.72%,92.11%,95.21%,95.29%
97.53%,99.44%,95.36%,100.00%,100.00%,96.93%,97.25%,95.77%,97.81%,97.49%,97.37%,98.31%,97.98%
