horse_time_day,horse_time_none,horse_weather_cloudy,horse_weather_partly cloudy,horse_weather_sunny,horse_weather_none,horse_locations_forest,horse_locations_grass,horse_locations_sand,horse_locations_none
40.67%,34.85%,35.48%,33.45%,44.51%,38.46%,41.30%,43.96%,32.18%,60.96%
61.19%,63.64%,53.23%,54.58%,65.62%,58.91%,62.80%,64.80%,55.29%,80.14%
