deer_time_day,deer_time_none,deer_weather_cloudy,deer_weather_partly cloudy,deer_weather_sunny,deer_weather_none,deer_locations_forest,deer_locations_grass,deer_locations_none
52.10%,44.12%,49.47%,49.71%,58.49%,48.51%,47.38%,55.70%,59.18%
82.98%,67.65%,81.05%,81.71%,86.39%,80.56%,81.99%,85.82%,83.67%
