dog_time_day,dog_time_none,dog_weather_cloudy,dog_weather_partly cloudy,dog_weather_sunny,dog_weather_none,dog_locations_grass,dog_locations_indoors,dog_locations_sand,dog_locations_street,dog_locations_water,dog_locations_none
88.86%,92.25%,88.08%,82.35%,91.51%,89.85%,89.55%,91.65%,85.27%,83.33%,89.33%,91.76%
98.14%,99.40%,97.35%,97.06%,98.89%,98.38%,97.39%,99.24%,97.83%,95.70%,98.01%,98.92%
