cat_time_day,cat_time_none,cat_weather_cloudy,cat_weather_partly cloudy,cat_weather_sunny,cat_weather_none,cat_locations_none,cat_locations_grass,cat_locations_indoors,cat_locations_street
78.33%,73.33%,74.00%,72.97%,81.53%,75.77%,90.86%,77.18%,73.21%,70.86%
93.64%,93.20%,90.00%,87.39%,93.74%,93.84%,97.85%,92.46%,94.12%,88.40%
