plane_time_day,plane_time_none,plane_weather_cloudy,plane_weather_partly cloudy,plane_weather_sunny,plane_weather_none,plane_locations_none,plane_locations_grass,plane_locations_street
65.09%,68.81%,69.88%,63.61%,66.71%,62.56%,78.52%,58.82%,69.92%
88.32%,91.74%,89.19%,88.20%,88.62%,89.70%,97.72%,85.42%,91.52%
