bird_time_day,bird_time_none,bird_weather_cloudy,bird_weather_partly cloudy,bird_weather_sunny,bird_weather_none,bird_locations_forest,bird_locations_grass,bird_locations_sand,bird_locations_water,bird_locations_none
94.73%,89.52%,88.30%,88.74%,95.35%,95.28%,93.75%,95.93%,90.20%,90.88%,96.42%
98.56%,95.16%,95.32%,97.35%,98.65%,98.62%,97.50%,97.78%,97.97%,97.25%,99.28%
