car_time_day,car_time_none,car_weather_cloudy,car_weather_partly cloudy,car_weather_sunny,car_weather_none,car_locations_forest,car_locations_grass,car_locations_sand,car_locations_street,car_locations_none
46.01%,51.42%,45.51%,50.32%,46.86%,49.77%,41.27%,47.62%,50.95%,43.98%,64.58%
81.85%,88.21%,81.73%,83.87%,82.01%,85.18%,80.69%,82.18%,85.93%,81.22%,82.29%
