ship_time_day,ship_time_none,ship_weather_cloudy,ship_weather_partly cloudy,ship_weather_sunny,ship_weather_none,ship_locations_none,ship_locations_water
53.08%,62.07%,52.47%,48.87%,58.66%,49.07%,62.75%,54.79%
90.72%,89.66%,92.59%,89.32%,91.70%,86.34%,96.08%,90.78%
