ship_time_day,ship_time_none,ship_weather_cloudy,ship_weather_partly cloudy,ship_weather_sunny,ship_weather_none,ship_locations_none,ship_locations_water
51.18%,55.17%,55.25%,48.22%,54.00%,50.62%,62.75%,53.18%
93.96%,82.76%,95.06%,93.20%,94.76%,90.37%,94.12%,93.90%
