deer_time_day,deer_time_none,deer_weather_cloudy,deer_weather_partly cloudy,deer_weather_sunny,deer_weather_none,deer_locations_forest,deer_locations_grass,deer_locations_none
41.62%,41.18%,38.95%,39.43%,42.72%,39.23%,35.15%,44.86%,46.94%
89.27%,88.24%,88.42%,87.43%,89.62%,88.44%,87.01%,90.84%,87.76%
