horse_time_day,horse_time_none,horse_weather_cloudy,horse_weather_partly cloudy,horse_weather_sunny,horse_weather_none,horse_locations_forest,horse_locations_grass,horse_locations_sand,horse_locations_none
53.70%,57.58%,41.40%,43.31%,58.20%,54.41%,58.36%,59.54%,42.45%,65.75%
72.90%,75.76%,63.44%,65.85%,77.85%,71.11%,75.26%,77.67%,67.82%,82.88%
