car_time_day,car_time_none,car_weather_cloudy,car_weather_partly cloudy,car_weather_sunny,car_weather_none,car_locations_forest,car_locations_grass,car_locations_sand,car_locations_street,car_locations_none
43.46%,47.17%,40.20%,42.90%,43.41%,48.30%,45.50%,44.55%,46.58%,41.22%,50.00%
79.30%,85.85%,77.74%,77.74%,79.39%,83.03%,78.57%,78.65%,79.85%,78.04%,82.29%
