cat_time_day,cat_time_none,cat_weather_cloudy,cat_weather_partly cloudy,cat_weather_sunny,cat_weather_none,cat_locations_none,cat_locations_grass,cat_locations_indoors,cat_locations_street
86.12%,80.34%,82.00%,77.48%,89.05%,83.14%,92.47%,86.65%,80.73%,82.22%
96.68%,95.64%,90.00%,96.40%,96.40%,96.16%,98.39%,97.49%,95.76%,94.57%
