frog_time_day,frog_time_night,frog_time_none,frog_weather_cloudy,frog_weather_partly cloudy,frog_weather_sunny,frog_weather_none,frog_locations_forest,frog_locations_grass,frog_locations_rocks,frog_locations_sand,frog_locations_water,frog_locations_none
97.42%,100.00%,96.90%,82.35%,95.45%,97.64%,97.99%,97.18%,96.72%,99.16%,97.37%,98.03%,97.98%
98.28%,100.00%,97.83%,100.00%,97.73%,97.87%,98.63%,98.59%,98.18%,99.58%,98.68%,98.87%,98.43%
