truck_time_day,truck_time_none,truck_weather_cloudy,truck_weather_partly cloudy,truck_weather_sunny,truck_weather_none,truck_locations_forest,truck_locations_grass,truck_locations_sand,truck_locations_street,truck_locations_none
65.64%,58.62%,78.42%,67.59%,66.73%,58.70%,63.37%,69.33%,47.80%,70.90%,76.79%
90.64%,82.76%,92.09%,93.79%,91.08%,88.26%,93.02%,90.80%,85.42%,93.64%,91.07%
