plane_time_day,plane_time_none,plane_weather_cloudy,plane_weather_partly cloudy,plane_weather_sunny,plane_weather_none,plane_locations_none,plane_locations_grass,plane_locations_street
67.56%,73.39%,69.50%,66.89%,67.44%,67.59%,77.95%,59.34%,73.26%
94.99%,96.33%,94.98%,94.10%,95.24%,96.98%,97.34%,96.68%,97.43%
