dog_time_day,dog_time_none,dog_weather_cloudy,dog_weather_partly cloudy,dog_weather_sunny,dog_weather_none,dog_locations_grass,dog_locations_indoors,dog_locations_sand,dog_locations_street,dog_locations_water,dog_locations_none
88.94%,91.65%,86.75%,80.00%,90.86%,90.32%,90.05%,90.76%,84.78%,84.95%,87.59%,92.11%
98.34%,99.01%,98.68%,96.47%,98.15%,98.71%,97.76%,98.73%,98.07%,96.51%,98.51%,99.28%
