bird_time_day,bird_time_none,bird_weather_cloudy,bird_weather_partly cloudy,bird_weather_sunny,bird_weather_none,bird_locations_forest,bird_locations_grass,bird_locations_sand,bird_locations_water,bird_locations_none
89.82%,87.10%,83.04%,85.43%,90.62%,90.56%,91.75%,92.98%,82.43%,81.76%,92.56%
98.17%,95.97%,94.15%,96.03%,98.48%,98.62%,98.25%,98.52%,97.30%,96.56%,98.57%
