plane_time_day,plane_time_none,plane_weather_cloudy,plane_weather_partly cloudy,plane_weather_sunny,plane_weather_none,plane_locations_none,plane_locations_grass,plane_locations_street
63.68%,72.48%,64.09%,67.54%,63.98%,64.57%,76.24%,55.24%,72.75%
90.45%,92.66%,90.35%,89.51%,90.63%,92.71%,98.29%,88.75%,94.60%
