horse_time_day,horse_time_none,horse_weather_cloudy,horse_weather_partly cloudy,horse_weather_sunny,horse_weather_none,horse_locations_forest,horse_locations_grass,horse_locations_sand,horse_locations_none
43.89%,34.85%,33.33%,34.15%,49.63%,42.59%,45.22%,50.88%,35.95%,53.42%
66.62%,65.15%,59.14%,57.75%,72.83%,62.29%,68.09%,72.33%,61.33%,77.40%
