dog_time_day,dog_time_none,dog_weather_cloudy,dog_weather_partly cloudy,dog_weather_sunny,dog_weather_none,dog_locations_grass,dog_locations_indoors,dog_locations_sand,dog_locations_street,dog_locations_water,dog_locations_none
89.57%,93.24%,88.08%,84.12%,91.69%,90.80%,89.68%,93.29%,86.23%,85.22%,89.08%,92.83%
97.81%,98.61%,97.35%,96.47%,97.97%,98.17%,97.14%,98.35%,98.07%,94.09%,97.02%,98.57%
