frog_time_day,frog_time_night,frog_time_none,frog_weather_cloudy,frog_weather_partly cloudy,frog_weather_sunny,frog_weather_none,frog_locations_forest,frog_locations_grass,frog_locations_rocks,frog_locations_sand,frog_locations_water,frog_locations_none
96.03%,99.44%,95.05%,88.24%,97.73%,95.74%,96.51%,95.77%,94.53%,97.49%,95.39%,96.34%,97.09%
97.74%,99.44%,97.21%,100.00%,100.00%,97.40%,97.89%,97.89%,97.81%,98.33%,96.71%,98.59%,98.21%
