deer_time_day,deer_time_none,deer_weather_cloudy,deer_weather_partly cloudy,deer_weather_sunny,deer_weather_none,deer_locations_forest,deer_locations_grass,deer_locations_none
35.57%,35.29%,42.11%,34.29%,39.22%,31.35%,28.28%,38.57%,46.94%
82.24%,67.65%,85.26%,78.86%,85.18%,79.86%,78.60%,85.98%,81.63%
