cat_time_day,cat_time_none,cat_weather_cloudy,cat_weather_partly cloudy,cat_weather_sunny,cat_weather_none,cat_locations_none,cat_locations_grass,cat_locations_indoors,cat_locations_street
84.47%,79.17%,78.00%,77.48%,86.07%,81.68%,90.05%,87.23%,79.02%,78.77%
95.63%,94.26%,88.00%,94.59%,95.93%,95.00%,99.46%,96.52%,94.49%,91.60%
