ship_time_day,ship_time_none,ship_weather_cloudy,ship_weather_partly cloudy,ship_weather_sunny,ship_weather_none,ship_locations_none,ship_locations_water
53.78%,62.07%,56.48%,48.87%,58.08%,53.11%,70.59%,55.85%
93.71%,79.31%,95.37%,93.20%,94.61%,88.82%,94.12%,93.40%
