car_time_day,car_time_none,car_weather_cloudy,car_weather_partly cloudy,car_weather_sunny,car_weather_none,car_locations_forest,car_locations_grass,car_locations_sand,car_locations_street,car_locations_none
49.73%,54.72%,50.17%,51.29%,48.85%,53.39%,46.03%,48.85%,51.33%,47.95%,59.38%
84.41%,90.57%,85.05%,86.77%,83.37%,87.67%,85.45%,83.72%,87.26%,83.49%,91.67%
